com.samsung.shealth.tracker.pedometer_day_summary,6195017,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
2611,7c5c92e9-22aa-4abf-aaa6-959cd979653d.binning_data.json,1493297,6000,6,2021-10-05 07:31:36.125,com.sec.android.app.shealth,2021-10-01 21:04:00.664,7c5c92e9-22aa-4abf-aaa6-959cd979653d.source_info.json,1.3341812,1992.3297,128.76001,2605,VfS0qUERdZ,com.sec.android.app.shealth,0,7c5c92e9-22aa-4abf-aaa6-959cd979653d.achievement.json,7c5c92e9-22aa-4abf-aaa6-959cd979653d,1633132800000,
9124,6801bba2-3e66-4aa5-8f2a-73d23ba1d90e.binning_data.json,4931688,6000,2,2021-10-05 07:03:11.586,com.sec.android.app.shealth,2021-10-01 15:51:43.085,,1.2967179,6395.0103,367.95,9122,6fPiwL19M5,com.sec.android.app.shealth,0,6801bba2-3e66-4aa5-8f2a-73d23ba1d90e.achievement.json,6801bba2-3e66-4aa5-8f2a-73d23ba1d90e,1633046400000,
7383,6be724ac-c0b1-4ecf-b9ac-0de2ff1f0fa9.binning_data.json,4038336,6000,31,2021-10-02 15:00:04.867,com.sec.android.app.shealth,2021-10-01 01:43:46.984,,1.2718982,5136.353,222.09998,7352,DQQ9M5Fmpd,com.sec.android.app.shealth,0,6be724ac-c0b1-4ecf-b9ac-0de2ff1f0fa9.achievement.json,6be724ac-c0b1-4ecf-b9ac-0de2ff1f0fa9,1633046400000,
12054,bede0481-f8ad-4e5e-81d4-eb3766a5b5f7.binning_data.json,6516702,6000,31,2021-10-05 07:31:36.668,com.sec.android.app.shealth,2021-10-01 01:43:47.361,bede0481-f8ad-4e5e-81d4-eb3766a5b5f7.source_info.json,1.2991024,8465.864,454.07996,12023,VfS0qUERdZ,com.sec.android.app.shealth,0,bede0481-f8ad-4e5e-81d4-eb3766a5b5f7.achievement.json,bede0481-f8ad-4e5e-81d4-eb3766a5b5f7,1633046400000,
2553,0466a106-0962-46d3-ba90-effdbc080940.binning_data.json,1467764,6000,0,2021-10-05 07:03:11.469,com.sec.android.app.shealth,2021-10-02 15:00:03.121,,1.3279653,1949.14,126.9,2553,6fPiwL19M5,com.sec.android.app.shealth,0,0466a106-0962-46d3-ba90-effdbc080940.achievement.json,0466a106-0962-46d3-ba90-effdbc080940,1633132800000,
3636,eb367786-4d11-4fe3-9d23-766a81c1db03.binning_data.json,2177904,6000,0,2021-10-05 07:31:36.100,com.sec.android.app.shealth,2021-10-04 22:01:52.956,eb367786-4d11-4fe3-9d23-766a81c1db03.source_info.json,1.2570755,2737.79,181.94,3636,VfS0qUERdZ,com.sec.android.app.shealth,0,eb367786-4d11-4fe3-9d23-766a81c1db03.achievement.json,eb367786-4d11-4fe3-9d23-766a81c1db03,1633305600000,
4871,8473a41a-5c5c-4a89-9ce9-66c7e34d0c2b.binning_data.json,2881340,6000,0,2021-10-05 07:03:10.041,com.sec.android.app.shealth,2021-10-05 07:03:10.041,,1.2512856,3605.38,254.65,4871,6fPiwL19M5,com.sec.android.app.shealth,0,8473a41a-5c5c-4a89-9ce9-66c7e34d0c2b.achievement.json,8473a41a-5c5c-4a89-9ce9-66c7e34d0c2b,1631059200000,
3976,26679e44-32af-45d7-8839-25f76d59e827.binning_data.json,2277300,6000,9,2021-10-05 07:03:10.112,com.sec.android.app.shealth,2021-10-05 07:03:10.112,,1.3305973,3030.17,200.51999,3967,6fPiwL19M5,com.sec.android.app.shealth,0,26679e44-32af-45d7-8839-25f76d59e827.achievement.json,26679e44-32af-45d7-8839-25f76d59e827,1631318400000,
7253,dd08225f-ae7f-442f-92f4-4220a027bfb0.binning_data.json,3964911,6000,51,2021-10-05 12:17:30.047,com.sec.android.app.shealth,2021-10-04 23:15:02.591,dd08225f-ae7f-442f-92f4-4220a027bfb0.source_info.json,1.298748,5149.421,282.02997,7202,VfS0qUERdZ,com.sec.android.app.shealth,0,dd08225f-ae7f-442f-92f4-4220a027bfb0.achievement.json,dd08225f-ae7f-442f-92f4-4220a027bfb0,1633392000000,
5015,63ba8acb-888e-4123-b7a0-849148fdf4f8.binning_data.json,2827622,6000,17,2021-10-05 07:03:10.356,com.sec.android.app.shealth,2021-10-05 07:03:10.356,,1.2990278,3673.16,269.6,4998,6fPiwL19M5,com.sec.android.app.shealth,0,63ba8acb-888e-4123-b7a0-849148fdf4f8.achievement.json,63ba8acb-888e-4123-b7a0-849148fdf4f8,1631750400000,
3522,28108b93-aa7c-4d10-a20a-5418bb3d88b5.binning_data.json,1940793,6000,2,2021-10-05 07:03:10.422,com.sec.android.app.shealth,2021-10-05 07:03:10.422,,1.3478968,2615.99,184.28,3520,6fPiwL19M5,com.sec.android.app.shealth,0,28108b93-aa7c-4d10-a20a-5418bb3d88b5.achievement.json,28108b93-aa7c-4d10-a20a-5418bb3d88b5,1631577600000,
1628,4c121321-4f2b-4dec-b869-e6e43b24c857.binning_data.json,914388,6000,0,2021-10-05 07:03:10.857,com.sec.android.app.shealth,2021-10-05 07:03:10.857,,1.3765486,1258.7,80.51,1628,6fPiwL19M5,com.sec.android.app.shealth,0,4c121321-4f2b-4dec-b869-e6e43b24c857.achievement.json,4c121321-4f2b-4dec-b869-e6e43b24c857,1632182400000,
2545,b3e38459-5e8d-4b75-b835-df1b243b564c.binning_data.json,1388903,6000,4,2021-10-05 07:03:10.889,com.sec.android.app.shealth,2021-10-05 07:03:10.889,,1.3920689,1933.45,130.75,2541,6fPiwL19M5,com.sec.android.app.shealth,0,b3e38459-5e8d-4b75-b835-df1b243b564c.achievement.json,b3e38459-5e8d-4b75-b835-df1b243b564c,1632268800000,
2794,fbb2003e-39a4-430b-9241-bcbad942e727.binning_data.json,1600505,6000,0,2021-10-05 07:03:10.135,com.sec.android.app.shealth,2021-10-05 07:03:10.135,,1.3383081,2141.97,139.47,2794,6fPiwL19M5,com.sec.android.app.shealth,0,fbb2003e-39a4-430b-9241-bcbad942e727.achievement.json,fbb2003e-39a4-430b-9241-bcbad942e727,1631404800000,
1663,7bea7dbd-8e1b-4c58-bda0-68530087e487.binning_data.json,892532,6000,0,2021-10-05 07:03:11.224,com.sec.android.app.shealth,2021-10-05 07:03:11.224,,1.427691,1274.26,83.45,1663,6fPiwL19M5,com.sec.android.app.shealth,0,7bea7dbd-8e1b-4c58-bda0-68530087e487.achievement.json,7bea7dbd-8e1b-4c58-bda0-68530087e487,1632614400000,
3979,8a9e8cb1-2d16-49f0-baa7-d7457da8cf0b.binning_data.json,2312574,6000,0,2021-10-05 07:03:11.262,com.sec.android.app.shealth,2021-10-05 07:03:11.262,,1.2748777,2948.25,208.9,3979,6fPiwL19M5,com.sec.android.app.shealth,0,8a9e8cb1-2d16-49f0-baa7-d7457da8cf0b.achievement.json,8a9e8cb1-2d16-49f0-baa7-d7457da8cf0b,1632787200000,
4519,100975b6-c868-466b-bc4a-51e0b667a64f.binning_data.json,2501878,6000,6,2021-10-05 07:03:10.044,com.sec.android.app.shealth,2021-10-05 07:03:10.044,,1.3373274,3345.83,248.24,4513,6fPiwL19M5,com.sec.android.app.shealth,0,100975b6-c868-466b-bc4a-51e0b667a64f.achievement.json,100975b6-c868-466b-bc4a-51e0b667a64f,1631145600000,
3604,674003b4-ccad-4224-bd3f-9ac2291a7b11.binning_data.json,1932071,6000,30,2021-10-05 16:30:51.746,com.sec.android.app.shealth,2021-10-05 07:03:19.961,,1.3080058,2527.161,106.76999,3574,DQQ9M5Fmpd,com.sec.android.app.shealth,0,674003b4-ccad-4224-bd3f-9ac2291a7b11.achievement.json,674003b4-ccad-4224-bd3f-9ac2291a7b11,1633392000000,
6715,97241cd6-dd2c-4acb-8c5a-e0a135e53d32.binning_data.json,3638734,6000,46,2021-10-05 16:29:45.793,com.sec.android.app.shealth,2021-10-05 07:03:11.675,,1.3007736,4733.17,266.4,6669,6fPiwL19M5,com.sec.android.app.shealth,0,97241cd6-dd2c-4acb-8c5a-e0a135e53d32.achievement.json,97241cd6-dd2c-4acb-8c5a-e0a135e53d32,1633392000000,
3677,0067bde3-3487-4322-838e-d996da61f76c.binning_data.json,2218251,6000,0,2021-10-05 07:03:10.267,com.sec.android.app.shealth,2021-10-05 07:03:10.267,,1.2262809,2720.2,192.6,3677,6fPiwL19M5,com.sec.android.app.shealth,0,0067bde3-3487-4322-838e-d996da61f76c.achievement.json,0067bde3-3487-4322-838e-d996da61f76c,1631491200000,
4183,1357ade2-e12d-4aa8-9c62-5a48a1d38600.binning_data.json,2434149,6000,0,2021-10-05 07:03:10.649,com.sec.android.app.shealth,2021-10-05 07:03:10.649,,1.3121253,3193.91,208.33,4183,6fPiwL19M5,com.sec.android.app.shealth,0,1357ade2-e12d-4aa8-9c62-5a48a1d38600.achievement.json,1357ade2-e12d-4aa8-9c62-5a48a1d38600,1631923200000,
3979,849dd96b-43d1-498b-a41b-b95ab5c2bb97.binning_data.json,2312574,6000,0,2021-10-05 07:31:37.218,com.sec.android.app.shealth,2021-10-05 07:31:37.218,849dd96b-43d1-498b-a41b-b95ab5c2bb97.source_info.json,1.2748777,2948.25,208.9,3979,VfS0qUERdZ,com.sec.android.app.shealth,0,849dd96b-43d1-498b-a41b-b95ab5c2bb97.achievement.json,849dd96b-43d1-498b-a41b-b95ab5c2bb97,1632787200000,
9751,a1ababea-3979-440d-95ea-562190e1dfd2.binning_data.json,5465521,6000,6,2021-10-05 07:31:36.768,com.sec.android.app.shealth,2021-10-05 07:31:36.768,a1ababea-3979-440d-95ea-562190e1dfd2.source_info.json,1.3594639,7430.1797,492.67,9745,VfS0qUERdZ,com.sec.android.app.shealth,0,a1ababea-3979-440d-95ea-562190e1dfd2.achievement.json,a1ababea-3979-440d-95ea-562190e1dfd2,1632873600000,
1628,62b1a083-c224-41fd-8051-cb7913dd8b49.binning_data.json,914388,6000,0,2021-10-05 07:31:38.261,com.sec.android.app.shealth,2021-10-05 07:31:38.261,62b1a083-c224-41fd-8051-cb7913dd8b49.source_info.json,1.3765486,1258.7,80.51,1628,VfS0qUERdZ,com.sec.android.app.shealth,0,62b1a083-c224-41fd-8051-cb7913dd8b49.achievement.json,62b1a083-c224-41fd-8051-cb7913dd8b49,1632182400000,
3373,a8b85bb6-2a83-4c09-a700-0f7ba9babd07.binning_data.json,1869408,6000,25,2021-10-05 07:03:10.391,com.sec.android.app.shealth,2021-10-05 07:03:10.391,,1.3713859,2563.6802,176.46002,3348,6fPiwL19M5,com.sec.android.app.shealth,0,a8b85bb6-2a83-4c09-a700-0f7ba9babd07.achievement.json,a8b85bb6-2a83-4c09-a700-0f7ba9babd07,1631836800000,
8047,51e32372-5534-4b7c-a8c3-e6c65f8e4dde.binning_data.json,4562281,6000,0,2021-10-05 07:31:37.833,com.sec.android.app.shealth,2021-10-05 07:31:37.833,51e32372-5534-4b7c-a8c3-e6c65f8e4dde.source_info.json,1.3189956,6017.63,417.38998,8047,VfS0qUERdZ,com.sec.android.app.shealth,0,51e32372-5534-4b7c-a8c3-e6c65f8e4dde.achievement.json,51e32372-5534-4b7c-a8c3-e6c65f8e4dde,1632355200000,
3561,f4022ab3-fcb5-47bb-8d79-8a50f9f4b04f.binning_data.json,2115796,6000,8,2021-10-05 07:31:38.877,com.sec.android.app.shealth,2021-10-05 07:31:38.877,f4022ab3-fcb5-47bb-8d79-8a50f9f4b04f.source_info.json,1.2566097,2658.73,181.53,3553,VfS0qUERdZ,com.sec.android.app.shealth,0,f4022ab3-fcb5-47bb-8d79-8a50f9f4b04f.achievement.json,f4022ab3-fcb5-47bb-8d79-8a50f9f4b04f,1631664000000,
5264,9dbaafcb-22f5-4beb-9972-255cfa254dd4.binning_data.json,3000481,6000,0,2021-10-05 07:03:10.877,com.sec.android.app.shealth,2021-10-05 07:03:10.877,,1.3217578,3965.91,268.32,5264,6fPiwL19M5,com.sec.android.app.shealth,0,9dbaafcb-22f5-4beb-9972-255cfa254dd4.achievement.json,9dbaafcb-22f5-4beb-9972-255cfa254dd4,1632009600000,
8047,7200bccf-2504-41b9-95e5-8e7df2c1bb3e.binning_data.json,4562281,6000,0,2021-10-05 07:03:11.159,com.sec.android.app.shealth,2021-10-05 07:03:11.159,,1.3189956,6017.63,417.38998,8047,6fPiwL19M5,com.sec.android.app.shealth,0,7200bccf-2504-41b9-95e5-8e7df2c1bb3e.achievement.json,7200bccf-2504-41b9-95e5-8e7df2c1bb3e,1632355200000,
5015,05d23068-3150-4bc3-88af-6764524e0d95.binning_data.json,2827622,6000,17,2021-10-05 07:31:38.597,com.sec.android.app.shealth,2021-10-05 07:31:38.597,05d23068-3150-4bc3-88af-6764524e0d95.source_info.json,1.2990278,3673.16,269.6,4998,VfS0qUERdZ,com.sec.android.app.shealth,0,05d23068-3150-4bc3-88af-6764524e0d95.achievement.json,05d23068-3150-4bc3-88af-6764524e0d95,1631750400000,
2210,f2e9c14d-e4b0-483f-8b43-8b5a724f8e22.binning_data.json,1269918,6000,0,2021-10-05 07:03:10.734,com.sec.android.app.shealth,2021-10-05 07:03:10.734,,1.3065485,1659.21,111.57,2210,6fPiwL19M5,com.sec.android.app.shealth,0,f2e9c14d-e4b0-483f-8b43-8b5a724f8e22.achievement.json,f2e9c14d-e4b0-483f-8b43-8b5a724f8e22,1632096000000,
7581,49e49c8d-dd15-4e3a-b774-c01ad75dc89a.binning_data.json,4261922,6000,31,2021-10-05 07:03:11.261,com.sec.android.app.shealth,2021-10-05 07:03:11.261,,1.3555009,5777.0396,383.6,7550,6fPiwL19M5,com.sec.android.app.shealth,0,49e49c8d-dd15-4e3a-b774-c01ad75dc89a.achievement.json,49e49c8d-dd15-4e3a-b774-c01ad75dc89a,1632700800000,
4519,ef4e7516-3da5-45e2-b57e-de69abf778c2.binning_data.json,2501878,6000,6,2021-10-05 07:31:39.575,com.sec.android.app.shealth,2021-10-05 07:31:39.575,ef4e7516-3da5-45e2-b57e-de69abf778c2.source_info.json,1.3373274,3345.83,248.24,4513,VfS0qUERdZ,com.sec.android.app.shealth,0,ef4e7516-3da5-45e2-b57e-de69abf778c2.achievement.json,ef4e7516-3da5-45e2-b57e-de69abf778c2,1631145600000,
7276,ca689285-d277-4a5d-9a56-e77637d9eaaf.binning_data.json,3697442,6000,7,2021-10-07 16:38:33.829,com.sec.android.app.shealth,2021-10-07 16:38:33.829,,1.3221868,4888.71,228.85,7269,6fPiwL19M5,com.sec.android.app.shealth,0,ca689285-d277-4a5d-9a56-e77637d9eaaf.achievement.json,ca689285-d277-4a5d-9a56-e77637d9eaaf,1633564800000,
3621,95ef78bf-e3b0-4f0a-9e04-7a36730655d4.binning_data.json,2169780,6000,0,2021-10-05 07:03:11.705,com.sec.android.app.shealth,2021-10-05 07:03:11.705,,1.2569982,2727.41,181.58,3621,6fPiwL19M5,com.sec.android.app.shealth,0,95ef78bf-e3b0-4f0a-9e04-7a36730655d4.achievement.json,95ef78bf-e3b0-4f0a-9e04-7a36730655d4,1633305600000,
58,ff72f195-e5fd-41c7-b0c5-5aa6924dc4aa.binning_data.json,25533,6000,6,2021-10-02 15:00:04.823,com.sec.android.app.shealth,2021-10-02 15:00:04.823,,1.6915097,43.18971,1.8600079,52,DQQ9M5Fmpd,com.sec.android.app.shealth,0,ff72f195-e5fd-41c7-b0c5-5aa6924dc4aa.achievement.json,ff72f195-e5fd-41c7-b0c5-5aa6924dc4aa,1633132800000,
8,2168475e-27fd-4789-a652-c460226b0f4d.binning_data.json,5489,6000,0,2021-10-09 15:00:08.065,com.sec.android.app.shealth,2021-10-09 15:00:08.065,,1.0000001,5.49,0.21,8,6fPiwL19M5,com.sec.android.app.shealth,0,2168475e-27fd-4789-a652-c460226b0f4d.achievement.json,2168475e-27fd-4789-a652-c460226b0f4d,1633737600000,
2616,02ce4143-aa4e-4546-bc34-ef262c911324.binning_data.json,1571620,6000,0,2021-10-05 07:03:10.113,com.sec.android.app.shealth,2021-10-05 07:03:10.113,,1.2358326,1942.26,134.98,2616,6fPiwL19M5,com.sec.android.app.shealth,0,02ce4143-aa4e-4546-bc34-ef262c911324.achievement.json,02ce4143-aa4e-4546-bc34-ef262c911324,1631232000000,
2102,2f74e78c-7b22-4c4f-b140-bf909cd85435.binning_data.json,1149034,6000,0,2021-10-05 07:03:11.163,com.sec.android.app.shealth,2021-10-05 07:03:11.163,,1.3461652,1546.79,111.67,2102,6fPiwL19M5,com.sec.android.app.shealth,0,2f74e78c-7b22-4c4f-b140-bf909cd85435.achievement.json,2f74e78c-7b22-4c4f-b140-bf909cd85435,1632528000000,
9751,6a06d427-6819-4de5-8b40-fdf8a2ee8576.binning_data.json,5465521,6000,6,2021-10-05 07:03:11.450,com.sec.android.app.shealth,2021-10-05 07:03:11.450,,1.3594639,7430.1797,492.67,9745,6fPiwL19M5,com.sec.android.app.shealth,0,6a06d427-6819-4de5-8b40-fdf8a2ee8576.achievement.json,6a06d427-6819-4de5-8b40-fdf8a2ee8576,1632873600000,
7581,f62eae06-c6a2-46f7-8f81-b52ded1ba42e.binning_data.json,4261922,6000,31,2021-10-05 07:31:37.096,com.sec.android.app.shealth,2021-10-05 07:31:37.096,f62eae06-c6a2-46f7-8f81-b52ded1ba42e.source_info.json,1.3555009,5777.0396,383.6,7550,VfS0qUERdZ,com.sec.android.app.shealth,0,f62eae06-c6a2-46f7-8f81-b52ded1ba42e.achievement.json,f62eae06-c6a2-46f7-8f81-b52ded1ba42e,1632700800000,
2616,b2924fbd-e7bb-4b61-9b21-b749415f2d48.binning_data.json,1571620,6000,0,2021-10-05 07:31:39.251,com.sec.android.app.shealth,2021-10-05 07:31:39.251,b2924fbd-e7bb-4b61-9b21-b749415f2d48.source_info.json,1.2358326,1942.26,134.98,2616,VfS0qUERdZ,com.sec.android.app.shealth,0,b2924fbd-e7bb-4b61-9b21-b749415f2d48.achievement.json,b2924fbd-e7bb-4b61-9b21-b749415f2d48,1631232000000,
23,31aef05a-a3f7-4ab4-8909-580d42acd188.binning_data.json,11541,6000,0,2021-10-11 21:38:26.248,com.sec.android.app.shealth,2021-10-11 21:38:26.248,31aef05a-a3f7-4ab4-8909-580d42acd188.source_info.json,1.4053228,16.220001,0.65,23,VfS0qUERdZ,com.sec.android.app.shealth,0,31aef05a-a3f7-4ab4-8909-580d42acd188.achievement.json,31aef05a-a3f7-4ab4-8909-580d42acd188,1633910400000,
8473,92a0ee06-a163-460f-9342-6a1914acd198.binning_data.json,4694196,6000,81,2021-10-06 16:25:18.772,com.sec.android.app.shealth,2021-10-06 16:25:18.772,,1.25224,5878.2603,254.54063,8392,DQQ9M5Fmpd,com.sec.android.app.shealth,0,92a0ee06-a163-460f-9342-6a1914acd198.achievement.json,92a0ee06-a163-460f-9342-6a1914acd198,1633478400000,
